cell_index,cell_in_module,module_in_pack
1,18,1
2,1,1
3,2,1
4,19,1
5,20,1
6,3,1
7,4,1
8,21,1
9,22,1
10,5,1
11,6,1
12,23,1
13,24,1
14,7,1
15,8,1
16,25,1
17,26,1
18,9,1
19,10,1
20,27,1
21,28,1
22,11,1
23,12,1
24,29,1
25,30,1
26,13,1
27,14,1
28,31,1
29,32,1
30,15,1
31,16,1
32,33,1
33,34,1
34,17,1
35,51,2
36,34,2
37,33,2
38,50,2
39,49,2
40,32,2
41,31,2
42,48,2
43,47,2
44,30,2
45,29,2
46,46,2
47,45,2
48,28,2
49,27,2
50,44,2
51,43,2
52,26,2
53,25,2
54,42,2
55,41,2
56,24,2
57,23,2
58,40,2
59,39,2
60,22,2
61,21,2
62,38,2
63,37,2
64,20,2
65,19,2
66,36,2
67,35,2
68,18,2
69,1,2
70,2,2
71,3,2
72,4,2
73,5,2
74,6,2
75,7,2
76,8,2
77,9,2
78,10,2
79,11,2
80,12,2
81,13,2
82,14,2
83,15,2
84,16,2
85,17,2
86,51,1
87,50,1
88,49,1
89,48,1
90,47,1
91,46,1
92,45,1
93,44,1
94,43,1
95,42,1
96,41,1
97,40,1
98,39,1
99,38,1
100,37,1
101,36,1
102,35,1
